Date,Open,High,Low,Close,Adj Close,Volume
10-Jun-16,"2,109.57","2,109.57","2,089.96","2,096.07","2,096.07","3,515,010,000"
9-Jun-16,"2,115.65","2,117.64","2,107.73","2,115.48","2,115.48","3,290,320,000"
8-Jun-16,"2,112.71","2,120.55","2,112.71","2,119.12","2,119.12","3,562,060,000"
7-Jun-16,"2,110.18","2,119.22","2,110.18","2,112.13","2,112.13","3,534,730,000"
6-Jun-16,"2,100.83","2,113.36","2,100.83","2,109.41","2,109.41","3,442,020,000"
3-Jun-16,"2,104.07","2,104.07","2,085.36","2,099.13","2,099.13","3,627,780,000"
2-Jun-16,"2,097.71","2,105.26","2,088.59","2,105.26","2,105.26","3,632,720,000"
1-Jun-16,"2,093.94","2,100.97","2,085.10","2,099.33","2,099.33","3,525,170,000"
31-May-16,"2,100.13","2,103.48","2,088.66","2,096.95","2,096.95","4,514,410,000"
27-May-16,"2,090.06","2,099.06","2,090.06","2,099.06","2,099.06","3,079,150,000"
26-May-16,"2,091.44","2,094.30","2,087.08","2,090.10","2,090.10","3,230,990,000"
25-May-16,"2,078.93","2,094.73","2,078.93","2,090.54","2,090.54","3,859,160,000"
24-May-16,"2,052.65","2,079.67","2,052.65","2,076.06","2,076.06","3,627,340,000"
23-May-16,"2,052.23","2,055.58","2,047.26","2,048.04","2,048.04","3,055,480,000"
20-May-16,"2,041.88","2,058.35","2,041.88","2,052.32","2,052.32","3,507,650,000"
19-May-16,"2,044.21","2,044.21","2,025.91","2,040.04","2,040.04","3,846,770,000"
18-May-16,"2,044.38","2,060.61","2,034.49","2,047.63","2,047.63","4,101,320,000"
17-May-16,"2,065.04","2,065.69","2,040.82","2,047.21","2,047.21","4,108,960,000"
16-May-16,"2,046.53","2,071.88","2,046.53","2,066.66","2,066.66","3,501,360,000"
13-May-16,"2,062.50","2,066.79","2,043.13","2,046.61","2,046.61","3,579,880,000"
12-May-16,"2,067.17","2,073.99","2,053.13","2,064.11","2,064.11","3,782,390,000"
11-May-16,"2,083.29","2,083.29","2,064.46","2,064.46","2,064.46","3,821,980,000"
10-May-16,"2,062.63","2,084.87","2,062.63","2,084.39","2,084.39","3,600,200,000"
9-May-16,"2,057.55","2,064.15","2,054.31","2,058.69","2,058.69","3,788,620,000"
6-May-16,"2,047.77","2,057.72","2,039.45","2,057.14","2,057.14","3,796,350,000"
5-May-16,"2,052.95","2,060.23","2,045.77","2,050.63","2,050.63","4,008,530,000"
4-May-16,"2,060.30","2,060.30","2,045.55","2,051.12","2,051.12","4,058,560,000"
3-May-16,"2,077.18","2,077.18","2,054.89","2,063.37","2,063.37","4,173,390,000"
2-May-16,"2,067.17","2,083.42","2,066.11","2,081.43","2,081.43","3,841,110,000"
29-Apr-16,"2,071.82","2,073.85","2,052.28","2,065.30","2,065.30","4,704,720,000"
28-Apr-16,"2,090.93","2,099.30","2,071.62","2,075.81","2,075.81","4,309,840,000"
27-Apr-16,"2,092.33","2,099.89","2,082.31","2,095.15","2,095.15","4,100,110,000"
26-Apr-16,"2,089.84","2,096.87","2,085.80","2,091.70","2,091.70","3,557,190,000"
25-Apr-16,"2,089.37","2,089.37","2,077.52","2,087.79","2,087.79","3,319,740,000"
22-Apr-16,"2,091.49","2,094.32","2,081.20","2,091.58","2,091.58","3,790,580,000"
21-Apr-16,"2,102.09","2,103.78","2,088.52","2,091.48","2,091.48","4,175,290,000"
20-Apr-16,"2,101.52","2,111.05","2,096.32","2,102.40","2,102.40","4,184,880,000"
19-Apr-16,"2,096.05","2,104.05","2,091.68","2,100.80","2,100.80","3,896,830,000"
18-Apr-16,"2,078.83","2,094.66","2,073.65","2,094.34","2,094.34","3,316,880,000"
15-Apr-16,"2,083.10","2,083.22","2,076.31","2,080.73","2,080.73","3,701,450,000"
14-Apr-16,"2,082.89","2,087.84","2,078.13","2,082.78","2,082.78","3,765,870,000"
13-Apr-16,"2,065.92","2,083.18","2,065.92","2,082.42","2,082.42","4,191,830,000"
12-Apr-16,"2,043.72","2,065.05","2,039.74","2,061.72","2,061.72","4,239,740,000"
11-Apr-16,"2,050.23","2,062.93","2,041.88","2,041.99","2,041.99","3,567,840,000"
8-Apr-16,"2,045.54","2,060.63","2,041.69","2,047.60","2,047.60","3,359,530,000"
7-Apr-16,"2,063.01","2,063.01","2,033.80","2,041.91","2,041.91","3,801,250,000"
6-Apr-16,"2,045.56","2,067.33","2,043.09","2,066.66","2,066.66","3,750,800,000"
5-Apr-16,"2,062.50","2,062.50","2,042.56","2,045.17","2,045.17","4,154,920,000"
4-Apr-16,"2,073.19","2,074.02","2,062.57","2,066.13","2,066.13","3,485,710,000"
1-Apr-16,"2,056.62","2,075.07","2,043.98","2,072.78","2,072.78","3,749,990,000"
31-Mar-16,"2,063.77","2,067.92","2,057.46","2,059.74","2,059.74","3,715,280,000"
30-Mar-16,"2,058.27","2,072.21","2,058.27","2,063.95","2,063.95","3,590,310,000"
29-Mar-16,"2,035.75","2,055.91","2,028.31","2,055.01","2,055.01","3,822,330,000"
28-Mar-16,"2,037.89","2,042.67","2,031.96","2,037.05","2,037.05","2,809,090,000"
24-Mar-16,"2,032.48","2,036.04","2,022.49","2,035.94","2,035.94","3,407,720,000"
23-Mar-16,"2,048.55","2,048.55","2,034.86","2,036.71","2,036.71","3,639,510,000"
22-Mar-16,"2,048.64","2,056.60","2,040.57","2,049.80","2,049.80","3,418,460,000"
21-Mar-16,"2,047.88","2,053.91","2,043.14","2,051.60","2,051.60","3,376,600,000"
18-Mar-16,"2,041.16","2,052.36","2,041.16","2,049.58","2,049.58","6,503,140,000"
17-Mar-16,"2,026.90","2,046.24","2,022.16","2,040.59","2,040.59","4,530,480,000"
16-Mar-16,"2,014.24","2,032.02","2,010.04","2,027.22","2,027.22","4,057,020,000"
15-Mar-16,"2,015.27","2,015.94","2,005.23","2,015.93","2,015.93","3,560,280,000"
